"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty38085","Sioux County, ND",
"cty45033","Dillon County, SC",
"cty02050","Bethel Census Area, AK",
"cty56013","Fremont County, WY",
"cty27021","Cass County, MN",
"cty46029","Codington County, SD",
"cty38053","McKenzie County, ND",
"cty46121","Todd County, SD",
"cty20013","Brown County, KS",
"cty46102","Oglala Lakota County, SD",
"cty26013","Baraga County, MI",
"cty31173","Thurston County, NE",
"cty02164","Lake and Peninsula Borough, AK",
"cty35006","Cibola County, NM",
"cty38105","Williams County, ND",
"cty40089","McCurtain County, OK",
"cty40075","Kiowa County, OK",
"cty46023","Charles Mix County, SD",
"cty01053","Escambia County, AL",
"cty28099","Neshoba County, MS",
"cty40023","Choctaw County, OK",
"cty20099","Labette County, KS",
"cty46041","Dewey County, SD",
"cty40001","Adair County, OK",
"cty30087","Rosebud County, MT",
"cty28101","Newton County, MS",
"cty37099","Jackson County, NC",
"cty40127","Pushmataha County, OK",
"cty40067","Jefferson County, OK",
"cty45069","Marlboro County, SC",
"cty27087","Mahnomen County, MN",
"cty40063","Hughes County, OK",
"cty40091","McIntosh County, OK",
"cty46017","Buffalo County, SD",
"cty40077","Latimer County, OK",
"cty30041","Hill County, MT",
"cty38055","McLean County, ND",
"cty49037","San Juan County, UT",
"cty30003","Big Horn County, MT",
"cty46085","Lyman County, SD",
"cty20085","Jackson County, KS",
"cty40009","Beckham County, OK",
"cty38079","Rolette County, ND",
"cty31161","Sheridan County, NE",
"cty37185","Warren County, NC",
"cty46047","Fall River County, SD",
"cty40099","Murray County, OK",
"cty38061","Mountrail County, ND",
"cty55078","Menominee County, WI",
"cty37083","Halifax County, NC",
"cty55113","Sawyer County, WI",
"cty40029","Coal County, OK",
"cty02188","Northwest Arctic Borough, AK",
"cty40103","Noble County, OK",
"cty37165","Scotland County, NC",
"cty16009","Benewah County, ID",
"cty37173","Swain County, NC",
"cty40135","Sequoyah County, OK",
"cty02290","Yukon-Koyukuk Census Area, AK",
"cty40069","Johnston County, OK",
"cty40035","Craig County, OK",
"cty46101","Moody County, SD",
"cty46027","Clay County, SD",
"cty26019","Benzie County, MI",
"cty04001","Apache County, AZ",
"cty02180","Nome Census Area, AK",
"cty37017","Bladen County, NC",
"cty40005","Atoka County, OK",
"cty40061","Haskell County, OK",
"cty02013","Aleutians East Borough, AK",
"cty40117","Pawnee County, OK",
"cty53019","Ferry County, WA",
"cty01129","Washington County, AL",
"cty02261","Valdez-Cordova Census Area, AK",
"cty40105","Nowata County, OK",
"cty55007","Bayfield County, WI",
"cty26097","Mackinac County, MI",
"cty26109","Menominee County, MI",
"cty02198","Prince of Wales-Hyder Census Area, AK",
"cty20021","Cherokee County, KS",
"cty40095","Marshall County, OK",
"cty41015","Curry County, OR",
"cty55041","Forest County, WI",
"cty26031","Cheboygan County, MI",
"cty55003","Ashland County, WI",
"cty37047","Columbus County, NC",
"cty22085","Sabine Parish, LA",
"cty26153","Schoolcraft County, MI",
"cty26095","Luce County, MI",
"cty22009","Avoyelles Parish, LA",
"cty40033","Cotton County, OK",
"cty22003","Allen Parish, LA",
"cty12043","Glades County, FL",
"cty40087","McClain County, OK",
"cty01079","Lawrence County, AL",
"cty02185","North Slope Borough, AK",
"cty48269","King County, TX",
"cty29067","Douglas County, MO",
"cty54091","Taylor County, WV",
"cty21159","Martin County, KY",
"cty13209","Montgomery County, GA",
"cty51595","Emporia city, VA",
"cty21161","Mason County, KY",
"cty13165","Jenkins County, GA",
"cty18117","Orange County, IN",
"cty29111","Lewis County, MO",
"cty48399","Runnels County, TX",
"cty20105","Lincoln County, KS",
"cty55123","Vernon County, WI",
"cty13147","Hart County, GA",
"cty13133","Greene County, GA",
"cty12029","Dixie County, FL",
"cty40053","Grant County, OK",
"cty13293","Upson County, GA",
"cty17173","Shelby County, IL",
"cty30079","Prairie County, MT",
"cty47115","Marion County, TN",
"cty48083","Coleman County, TX",
"cty05067","Jackson County, AR",
"cty19071","Fremont County, IA",
"cty17159","Richland County, IL",
"cty29201","Scott County, MO",
"cty47047","Fayette County, TN",
"cty13201","Miller County, GA",
"cty39019","Carroll County, OH",
"cty72025","Caguas Municipio, PR",
"cty01017","Chambers County, AL",
"cty51017","Bath County, VA",
"cty46115","Spink County, SD",
"cty47083","Houston County, TN",
"cty01093","Marion County, AL",
"cty13079","Crawford County, GA",
"cty27023","Chippewa County, MN",
"cty45017","Calhoun County, SC",
"cty19083","Hardin County, IA",
"cty40057","Harmon County, OK",
"cty47153","Sequatchie County, TN",
"cty49009","Daggett County, UT",
"cty20195","Trego County, KS",
"cty51147","Prince Edward County, VA",
"cty46079","Lake County, SD",
"cty19017","Bremer County, IA",
"cty20081","Haskell County, KS",
"cty54065","Morgan County, WV",
"cty38103","Wells County, ND",
"cty40007","Beaver County, OK",
"cty40025","Cimarron County, OK",
"cty48385","Real County, TX",
"cty19167","Sioux County, IA",
"cty72003","Aguada Municipio, PR",
"cty05095","Monroe County, AR",
"cty21221","Trigg County, KY",
"cty19177","Van Buren County, IA",
"cty53023","Garfield County, WA",
"cty54005","Boone County, WV",
"cty28061","Jasper County, MS",
"cty05029","Conway County, AR",
"cty22013","Bienville Parish, LA",
"cty47061","Grundy County, TN",
"cty51011","Appomattox County, VA",
"cty41021","Gilliam County, OR",
"cty21203","Rockcastle County, KY",
"cty46105","Perkins County, SD",
"cty31045","Dawes County, NE",
"cty72133","Santa Isabel Municipio, PR",
"cty29163","Pike County, MO",
"cty72035","Cayey Municipio, PR",
"cty12003","Baker County, FL",
"cty17067","Hancock County, IL",
"cty20145","Pawnee County, KS",
"cty56043","Washakie County, WY",
"cty19027","Carroll County, IA",
"cty55011","Buffalo County, WI",
"cty26011","Arenac County, MI",
"cty21041","Carroll County, KY",
"cty54043","Lincoln County, WV",
"cty48461","Upton County, TX",
"cty21147","McCreary County, KY",
"cty13161","Jeff Davis County, GA",
"cty13273","Terrell County, GA",
"cty21033","Caldwell County, KY",
"cty13265","Taliaferro County, GA",
"cty13205","Mitchell County, GA",
"cty19165","Shelby County, IA",
"cty39125","Paulding County, OH",
"cty51125","Nelson County, VA",
"cty48125","Dickens County, TX",
"cty51023","Botetourt County, VA",
"cty19055","Delaware County, IA",
"cty16029","Caribou County, ID",
"cty21215","Spencer County, KY",
"cty47081","Hickman County, TN",
"cty05013","Calhoun County, AR",
"cty05117","Prairie County, AR",
"cty20179","Sheridan County, KS",
"cty13171","Lamar County, GA",
"cty13065","Clinch County, GA",
"cty46107","Potter County, SD",
"cty06091","Sierra County, CA",
"cty08093","Park County, CO",
"cty38019","Cavalier County, ND",
"cty46037","Day County, SD",
"cty47171","Unicoi County, TN",
"cty16013","Blaine County, ID",
"cty46051","Grant County, SD",
"cty29143","New Madrid County, MO",
"cty19121","Madison County, IA",
"cty13195","Madison County, GA",
"cty28155","Webster County, MS",
"cty37041","Chowan County, NC",
"cty53055","San Juan County, WA",
"cty20163","Rooks County, KS",
"cty72054","Florida Municipio, PR",
"cty27173","Yellow Medicine County, MN",
"cty01105","Perry County, AL",
"cty54073","Pleasants County, WV",
"cty29061","Daviess County, MO",
"cty51159","Richmond County, VA",
"cty06049","Modoc County, CA",
"cty38045","LaMoure County, ND",
"cty20031","Coffey County, KS",
"cty29125","Maries County, MO",
"cty08023","Costilla County, CO",
"cty26053","Gogebic County, MI",
"cty31129","Nuckolls County, NE",
"cty47123","Monroe County, TN",
"cty48237","Jack County, TX",
"cty27011","Big Stone County, MN",
"cty13107","Emanuel County, GA",
"cty16081","Teton County, ID",
"cty51678","Lexington city, VA",
"cty19029","Cass County, IA",
"cty05027","Columbia County, AR",
"cty48031","Blanco County, TX",
"cty13025","Brantley County, GA",
"cty17003","Alexander County, IL",
"cty19159","Ringgold County, IA",
"cty49017","Garfield County, UT",
"cty47143","Rhea County, TN",
"cty30091","Sheridan County, MT",
"cty37121","Mitchell County, NC",
"cty19131","Mitchell County, IA",
"cty46063","Harding County, SD",
"cty05041","Desha County, AR",
"cty28157","Wilkinson County, MS",
"cty48483","Wheeler County, TX",
"cty01007","Bibb County, AL",
"cty29121","Macon County, MO",
"cty38087","Slope County, ND",
"cty45031","Darlington County, SC",
"cty01059","Franklin County, AL",
"cty17127","Massac County, IL",
"cty72087","Loiza Municipio, PR",
"cty22027","Claiborne Parish, LA",
"cty20121","Miami County, KS",
"cty05009","Boone County, AR",
"cty13163","Jefferson County, GA",
"cty21137","Lincoln County, KY",
"cty48063","Camp County, TX",
"cty53059","Skamania County, WA",
"cty08107","Routt County, CO",
"cty72011","Anasco Municipio, PR",
"cty02275","Wrangell City and Borough, AK",
"cty30027","Fergus County, MT",
"cty48299","Llano County, TX",
"cty29179","Reynolds County, MO",
"cty13011","Banks County, GA",
"cty39015","Brown County, OH",
"cty02240","Southeast Fairbanks Census Area, AK",
"cty13239","Quitman County, GA",
"cty27101","Murray County, MN",
"cty17071","Henderson County, IL",
"cty47075","Haywood County, TN",
"cty28001","Adams County, MS",
"cty51181","Surry County, VA",
"cty26039","Crawford County, MI",
"cty39067","Harrison County, OH",
"cty46025","Clark County, SD",
"cty47111","Macon County, TN",
"cty48095","Concho County, TX",
"cty37113","Macon County, NC",
"cty48045","Briscoe County, TX",
"cty28015","Carroll County, MS",
"cty30023","Deer Lodge County, MT",
"cty31049","Deuel County, NE",
"cty20185","Stafford County, KS",
"cty48395","Robertson County, TX",
"cty08057","Jackson County, CO",
"cty72099","Moca Municipio, PR",
"cty48193","Hamilton County, TX",
"cty40151","Woods County, OK",
"cty17153","Pulaski County, IL",
"cty20147","Phillips County, KS",
"cty37169","Stokes County, NC",
"cty17083","Jersey County, IL",
"cty37103","Jones County, NC",
"cty24039","Somerset County, MD",
"cty31133","Pawnee County, NE",
"cty48417","Shackelford County, TX",
"cty29057","Dade County, MO",
"cty47137","Pickett County, TN",
"cty35057","Torrance County, NM",
"cty28043","Grenada County, MS",
"cty05089","Marion County, AR",
"cty55061","Kewaunee County, WI",
"cty54075","Pocahontas County, WV",
"cty47017","Carroll County, TN",
"cty16015","Boise County, ID",
"cty48335","Mitchell County, TX",
"cty21213","Simpson County, KY",
"cty19143","Osceola County, IA",
"cty47087","Jackson County, TN",
"cty35059","Union County, NM",
"cty05003","Ashley County, AR",
"cty30061","Mineral County, MT",
"cty13149","Heard County, GA",
"cty37011","Avery County, NC",
"cty72135","Toa Alta Municipio, PR",
"cty28041","Greene County, MS",
"cty30099","Teton County, MT",
"cty35037","Quay County, NM",
"cty16023","Butte County, ID",
"cty31033","Cheyenne County, NE",
"cty13081","Crisp County, GA",
"cty08117","Summit County, CO",
"cty39073","Hocking County, OH",
"cty05087","Madison County, AR",
"cty20141","Osborne County, KS",
"cty48255","Karnes County, TX",
"cty17013","Calhoun County, IL",
"cty37009","Ashe County, NC",
"cty29133","Mississippi County, MO",
"cty20049","Elk County, KS",
"cty13281","Towns County, GA",
"cty72063","Gurabo Municipio, PR",
"cty47133","Overton County, TN",
"cty28119","Quitman County, MS",
"cty37177","Tyrrell County, NC",
"cty31147","Richardson County, NE",
"cty48051","Burleson County, TX",
"cty38011","Bowman County, ND",
"cty39105","Meigs County, OH",
"cty28077","Lawrence County, MS",
"cty38041","Hettinger County, ND",
"cty21223","Trimble County, KY",
"cty26085","Lake County, MI",
"cty31075","Grant County, NE",
"cty51075","Goochland County, VA",
"cty29207","Stoddard County, MO",
"cty28103","Noxubee County, MS",
"cty01021","Chilton County, AL",
"cty54101","Webster County, WV",
"cty05107","Phillips County, AR",
"cty30019","Daniels County, MT",
"cty31061","Franklin County, NE",
"cty05059","Hot Spring County, AR",
"cty72081","Lares Municipio, PR",
"cty29015","Benton County, MO",
"cty48047","Brooks County, TX",
"cty20051","Ellis County, KS",
"cty51025","Brunswick County, VA",
"cty31039","Cuming County, NE",
"cty72001","Adjuntas Municipio, PR",
"cty21209","Scott County, KY",
"cty51021","Bland County, VA",
"cty48359","Oldham County, TX",
"cty72075","Juana Diaz Municipio, PR",
"cty47041","DeKalb County, TN",
"cty28029","Copiah County, MS",
"cty22007","Assumption Parish, LA",
"cty56003","Big Horn County, WY",
"cty54023","Grant County, WV",
"cty29113","Lincoln County, MO",
"cty54001","Barbour County, WV",
"cty21045","Casey County, KY",
"cty30071","Phillips County, MT",
"cty32033","White Pine County, NV",
"cty48421","Sherman County, TX",
"cty56039","Teton County, WY",
"cty17033","Crawford County, IL",
"cty38031","Foster County, ND",
"cty40043","Dewey County, OK",
"cty28037","Franklin County, MS",
"cty22067","Morehouse Parish, LA",
"cty18075","Jay County, IN",
"cty13303","Washington County, GA",
"cty19053","Decatur County, IA",
"cty31131","Otoe County, NE",
"cty13259","Stewart County, GA",
"cty21231","Wayne County, KY",
"cty21017","Bourbon County, KY",
"cty01039","Covington County, AL",
"cty50009","Essex County, VT",
"cty72015","Arroyo Municipio, PR",
"cty12007","Bradford County, FL",
"cty38051","McIntosh County, ND",
"cty45081","Saluda County, SC",
"cty20199","Wallace County, KS",
"cty18051","Gibson County, IN",
"cty26137","Otsego County, MI",
"cty20063","Gove County, KS",
"cty13227","Pickens County, GA",
"cty28153","Wayne County, MS",
"cty21009","Barren County, KY",
"cty17155","Putnam County, IL",
"cty47025","Claiborne County, TN",
"cty08065","Lake County, CO",
"cty27077","Lake of the Woods County, MN",
"cty37143","Perquimans County, NC",
"cty45023","Chester County, SC",
"cty38033","Golden Valley County, ND",
"cty26043","Dickinson County, MI",
"cty54097","Upshur County, WV",
"cty48239","Jackson County, TX",
"cty28137","Tate County, MS",
"cty21003","Allen County, KY",
"cty21239","Woodford County, KY",
"cty31009","Blaine County, NE",
"cty47185","White County, TN",
"cty28161","Yalobusha County, MS",
"cty72095","Maunabo Municipio, PR",
"cty01037","Coosa County, AL",
"cty05017","Chicot County, AR",
"cty54013","Calhoun County, WV",
"cty12125","Union County, FL",
"cty21027","Breckinridge County, KY",
"cty08095","Phillips County, CO",
"cty38007","Billings County, ND",
"cty18055","Greene County, IN",
"cty38077","Richland County, ND",
"cty31123","Morrill County, NE",
"cty31077","Greeley County, NE",
"cty72089","Luquillo Municipio, PR",
"cty39013","Belmont County, OH",
"cty18135","Randolph County, IN",
"cty13001","Appling County, GA",
"cty08007","Archuleta County, CO",
"cty20159","Rice County, KS",
"cty31165","Sioux County, NE",
"cty48075","Childress County, TX",
"cty17005","Bond County, IL",
"cty48191","Hall County, TX",
"cty51101","King William County, VA",
"cty05137","Stone County, AR",
"cty28159","Winston County, MS",
"cty21119","Knott County, KY",
"cty17059","Gallatin County, IL",
"cty28063","Jefferson County, MS",
"cty22053","Jefferson Davis Parish, LA",
"cty01085","Lowndes County, AL",
"cty48275","Knox County, TX",
"cty29063","DeKalb County, MO",
"cty31127","Nemaha County, NE",
"cty22043","Grant Parish, LA",
"cty72147","Vieques Municipio, PR",
"cty16061","Lewis County, ID",
"cty39175","Wyandot County, OH",
"cty46045","Edmunds County, SD",
"cty54029","Hancock County, WV",
"cty02282","Yakutat City and Borough, AK",
"cty05043","Drew County, AR",
"cty39161","Van Wert County, OH",
"cty28131","Stone County, MS",
"cty28017","Chickasaw County, MS",
"cty46043","Douglas County, SD",
"cty21191","Pendleton County, KY",
"cty49007","Carbon County, UT",
"cty31029","Chase County, NE",
"cty17023","Clark County, IL",
"cty05083","Logan County, AR",
"cty13043","Candler County, GA",
"cty47175","Van Buren County, TN",
"cty31035","Clay County, NE",
"cty31011","Boone County, NE",
"cty05135","Sharp County, AR",
"cty28135","Tallahatchie County, MS",
"cty28107","Panola County, MS",
"cty28031","Covington County, MS",
"cty41001","Baker County, OR",
"cty31063","Frontier County, NE",
"cty21197","Powell County, KY",
"cty20033","Comanche County, KS",
"cty28069","Kemper County, MS",
"cty19095","Iowa County, IA",
"cty17087","Johnson County, IL",
"cty24029","Kent County, MD",
"cty27155","Traverse County, MN",
"cty08021","Conejos County, CO",
"cty12067","Lafayette County, FL",
"cty47067","Hancock County, TN",
"cty45087","Union County, SC",
"cty48403","Sabine County, TX",
"cty29223","Wayne County, MO",
"cty20151","Pratt County, KS",
"cty29087","Holt County, MO",
"cty19089","Howard County, IA",
"cty29181","Ripley County, MO",
"cty05039","Dallas County, AR",
"cty13125","Glascock County, GA",
"cty21235","Whitley County, KY",
"cty19161","Sac County, IA",
"cty08003","Alamosa County, CO",
"cty48431","Sterling County, TX",
"cty12123","Taylor County, FL",
"cty27063","Jackson County, MN",
"cty20001","Allen County, KS",
"cty18151","Steuben County, IN",
"cty46117","Stanley County, SD",
"cty39115","Morgan County, OH",
"cty20123","Mitchell County, KS",
"cty72079","Lajas Municipio, PR",
"cty20203","Wichita County, KS",
"cty72103","Naguabo Municipio, PR",
"cty51169","Scott County, VA",
"cty05147","Woodruff County, AR",
"cty29139","Montgomery County, MO",
"cty21049","Clark County, KY",
"cty22107","Tensas Parish, LA",
"cty38009","Bottineau County, ND",
"cty13243","Randolph County, GA",
"cty20007","Barber County, KS",
"cty16025","Camas County, ID",
"cty13241","Rabun County, GA",
"cty29079","Grundy County, MO",
"cty26003","Alger County, MI",
"cty17147","Piatt County, IL",
"cty23021","Piscataquis County, ME",
"cty17025","Clay County, IL",
"cty05023","Cleburne County, AR",
"cty37131","Northampton County, NC",
"cty12065","Jefferson County, FL",
"cty16037","Custer County, ID",
"cty48175","Goliad County, TX",
"cty51690","Martinsville city, VA",
"cty20005","Atchison County, KS",
"cty29205","Shelby County, MO",
"cty12045","Gulf County, FL",
"cty16041","Franklin County, ID",
"cty30089","Sanders County, MT",
"cty21193","Perry County, KY",
"cty26141","Presque Isle County, MI",
"cty21043","Carter County, KY",
"cty51119","Middlesex County, VA",
"cty01075","Lamar County, AL",
"cty54035","Jackson County, WV",
"cty20023","Cheyenne County, KS",
"cty54027","Hampshire County, WV",
"cty30015","Chouteau County, MT",
"cty29129","Mercer County, MO",
"cty18007","Benton County, IN",
"cty72131","San Sebastian Municipio, PR",
"cty05141","Van Buren County, AR",
"cty30109","Wibaux County, MT",
"cty16077","Power County, ID",
"cty37029","Camden County, NC",
"cty29153","Ozark County, MO",
"cty31073","Gosper County, NE",
"cty05055","Greene County, AR",
"cty29073","Gasconade County, MO",
"cty51035","Carroll County, VA",
"cty54087","Roane County, WV",
"cty51197","Wythe County, VA",
"cty38021","Dickey County, ND",
"cty22035","East Carroll Parish, LA",
"cty19173","Taylor County, IA",
"cty30025","Fallon County, MT",
"cty31093","Howard County, NE",
"cty46003","Aurora County, SD",
"cty72077","Juncos Municipio, PR",
"cty55129","Washburn County, WI",
"cty38073","Ransom County, ND",
"cty29007","Audrain County, MO",
"cty72137","Toa Baja Municipio, PR",
"cty72007","Aguas Buenas Municipio, PR",
"cty21021","Boyle County, KY",
"cty13229","Pierce County, GA",
"cty56045","Weston County, WY",
"cty27161","Waseca County, MN",
"cty38065","Oliver County, ND",
"cty48155","Foard County, TX",
"cty21139","Livingston County, KY",
"cty46049","Faulk County, SD",
"cty20119","Meade County, KS",
"cty21165","Menifee County, KY",
"cty54017","Doddridge County, WV",
"cty48387","Red River County, TX",
"cty29017","Bollinger County, MO",
"cty72055","Guanica Municipio, PR",
"cty30103","Treasure County, MT",
"cty45089","Williamsburg County, SC",
"cty21091","Hancock County, KY",
"cty13271","Telfair County, GA",
"cty46005","Beadle County, SD",
"cty54045","Logan County, WV",
"cty48343","Morris County, TX",
"cty05123","St. Francis County, AR",
"cty27129","Renville County, MN",
"cty29013","Bates County, MO",
"cty05011","Bradley County, AR",
"cty18025","Crawford County, IN",
"cty21173","Montgomery County, KY",
"cty21217","Taylor County, KY",
"cty13075","Cook County, GA",
"cty20087","Jefferson County, KS",
"cty72113","Ponce Municipio, PR",
"cty45061","Lee County, SC",
"cty21105","Hickman County, KY",
"cty47127","Moore County, TN",
"cty29186","Ste. Genevieve County, MO",
"cty19047","Crawford County, IA",
"cty45027","Clarendon County, SC",
"cty29175","Randolph County, MO",
"cty38093","Stutsman County, ND",
"cty37181","Vance County, NC",
"cty22123","West Carroll Parish, LA",
"cty13211","Morgan County, GA",
"cty30017","Custer County, MT",
"cty51195","Wise County, VA",
"cty39117","Morrow County, OH",
"cty21149","McLean County, KY",
"cty13167","Johnson County, GA",
"cty27057","Hubbard County, MN",
"cty21225","Union County, KY",
"cty30043","Jefferson County, MT",
"cty72139","Trujillo Alto Municipio, PR",
"cty26083","Keweenaw County, MI",
"cty05101","Newton County, AR",
"cty51141","Patrick County, VA",
"cty47015","Cannon County, TN",
"cty27125","Red Lake County, MN",
"cty72125","San German Municipio, PR",
"cty17149","Pike County, IL",
"cty49015","Emery County, UT",
"cty37187","Washington County, NC",
"cty49031","Piute County, UT",
"cty54099","Wayne County, WV",
"cty05109","Pike County, AR",
"cty37199","Yancey County, NC",
"cty21131","Leslie County, KY",
"cty21103","Henry County, KY",
"cty72083","Las Marias Municipio, PR",
"cty55077","Marquette County, WI",
"cty56019","Johnson County, WY",
"cty48267","Kimble County, TX",
"cty40141","Tillman County, OK",
"cty72029","Canovanas Municipio, PR",
"cty51077","Grayson County, VA",
"cty35021","Harding County, NM",
"cty29197","Schuyler County, MO",
"cty13093","Dooly County, GA",
"cty48333","Mills County, TX",
"cty16049","Idaho County, ID",
"cty51057","Essex County, VA",
"cty08113","San Miguel County, CO",
"cty29219","Warren County, MO",
"cty21025","Breathitt County, KY",
"cty19191","Winneshiek County, IA",
"cty18021","Clay County, IN",
"cty47131","Obion County, TN",
"cty20097","Kiowa County, KS",
"cty22111","Union Parish, LA",
"cty18129","Posey County, IN",
"cty01063","Greene County, AL",
"cty08097","Pitkin County, CO",
"cty17193","White County, IL",
"cty45049","Hampton County, SC",
"cty19051","Davis County, IA",
"cty48087","Collingsworth County, TX",
"cty19085","Harrison County, IA",
"cty27065","Kanabec County, MN",
"cty40045","Ellis County, OK",
"cty39075","Holmes County, OH",
"cty22065","Madison Parish, LA",
"cty37077","Granville County, NC",
"cty54089","Summers County, WV",
"cty28013","Calhoun County, MS",
"cty38081","Sargent County, ND",
"cty48151","Fisher County, TX",
"cty47097","Lauderdale County, TN",
"cty51620","Franklin city, VA",
"cty47069","Hardeman County, TN",
"cty19147","Palo Alto County, IA",
"cty27089","Marshall County, MN",
"cty20181","Sherman County, KS",
"cty29171","Putnam County, MO",
"cty48319","Mason County, TX",
"cty16079","Shoshone County, ID",
"cty39137","Putnam County, OH",
"cty46075","Jones County, SD",
"cty28095","Monroe County, MS",
"cty56011","Crook County, WY",
"cty48313","Madison County, TX",
"cty17041","Douglas County, IL",
"cty29137","Monroe County, MO",
"cty20109","Logan County, KS",
"cty13287","Turner County, GA",
"cty49029","Morgan County, UT",
"cty13231","Pike County, GA",
"cty54041","Lewis County, WV",
"cty46073","Jerauld County, SD",
"cty72117","Rincon Municipio, PR",
"cty16035","Clearwater County, ID",
"cty18133","Putnam County, IN",
"cty30077","Powell County, MT",
"cty31159","Seward County, NE",
"cty30033","Garfield County, MT",
"cty36097","Schuyler County, NY",
"cty08033","Dolores County, CO",
"cty72141","Utuado Municipio, PR",
"cty19107","Keokuk County, IA",
"cty49041","Sevier County, UT",
"cty48225","Houston County, TX",
"cty20089","Jewell County, KS",
"cty17169","Schuyler County, IL",
"cty29135","Moniteau County, MO",
"cty42059","Greene County, PA",
"cty51027","Buchanan County, VA",
"cty19035","Cherokee County, IA",
"cty51193","Westmoreland County, VA",
"cty30009","Carbon County, MT",
"cty13263","Talbot County, GA",
"cty54093","Tucker County, WV",
"cty72109","Patillas Municipio, PR",
"cty53051","Pend Oreille County, WA",
"cty31135","Perkins County, NE",
"cty27031","Cook County, MN",
"cty13091","Dodge County, GA",
"cty22029","Concordia Parish, LA",
"cty13235","Pulaski County, GA",
"cty22077","Pointe Coupee Parish, LA",
"cty72005","Aguadilla Municipio, PR",
"cty18041","Fayette County, IN",
"cty18111","Newton County, IN",
"cty20011","Bourbon County, KS",
"cty30045","Judith Basin County, MT",
"cty51089","Henry County, VA",
"cty21055","Crittenden County, KY",
"cty39033","Crawford County, OH",
"cty05097","Montgomery County, AR",
"cty13169","Jones County, GA",
"cty39141","Ross County, OH",
"cty21181","Nicholas County, KY",
"cty02230","Skagway Municipality, AK",
"cty01127","Walker County, AL",
"cty08009","Baca County, CO",
"cty13035","Butts County, GA",
"cty01005","Barbour County, AL",
"cty31091","Hooker County, NE",
"cty28083","Leflore County, MS",
"cty18083","Knox County, IN",
"cty05129","Searcy County, AR",
"cty47023","Chester County, TN",
"cty18009","Blackford County, IN",
"cty13037","Calhoun County, GA",
"cty46125","Turner County, SD",
"cty72115","Quebradillas Municipio, PR",
"cty51105","Lee County, VA",
"cty13049","Charlton County, GA",
"cty48059","Callahan County, TX",
"cty48285","Lavaca County, TX",
"cty17137","Morgan County, IL",
"cty13083","Dade County, GA",
"cty18171","Warren County, IN",
"cty47169","Trousdale County, TN",
"cty27091","Martin County, MN",
"cty72041","Cidra Municipio, PR",
"cty17145","Perry County, IL",
"cty72059","Guayanilla Municipio, PR",
"cty29083","Henry County, MO",
"cty20183","Smith County, KS",
"cty21053","Clinton County, KY",
"cty31069","Garden County, NE",
"cty46089","McPherson County, SD",
"cty28117","Prentiss County, MS",
"cty29049","Clinton County, MO",
"cty13099","Early County, GA",
"cty08019","Clear Creek County, CO",
"cty21069","Fleming County, KY",
"cty46039","Deuel County, SD",
"cty46127","Union County, SD",
"cty20171","Scott County, KS",
"cty48433","Stonewall County, TX",
"cty19001","Adair County, IA",
"cty31067","Gage County, NE",
"cty26135","Oscoda County, MI",
"cty29151","Osage County, MO",
"cty38095","Towner County, ND",
"cty19073","Greene County, IA",
"cty31117","McPherson County, NE",
"cty30105","Valley County, MT",
"cty29033","Carroll County, MO",
"cty31113","Logan County, NE",
"cty28027","Coahoma County, MS",
"cty49055","Wayne County, UT",
"cty51037","Charlotte County, VA",
"cty19003","Adams County, IA",
"cty05121","Randolph County, AR",
"cty27045","Fillmore County, MN",
"cty13207","Monroe County, GA",
"cty31089","Holt County, NE",
"cty19129","Mills County, IA",
"cty32027","Pershing County, NV",
"cty29115","Linn County, MO",
"cty29107","Lafayette County, MO",
"cty39131","Pike County, OH",
"cty37137","Pamlico County, NC",
"cty21207","Russell County, KY",
"cty21079","Garrard County, KY",
"cty12077","Liberty County, FL",
"cty21115","Johnson County, KY",
"cty21005","Anderson County, KY",
"cty30101","Toole County, MT",
"cty13251","Screven County, GA",
"cty48161","Freestone County, TX",
"cty48327","Menard County, TX",
"cty19037","Chickasaw County, IA",
"cty22081","Red River Parish, LA",
"cty19033","Cerro Gordo County, IA",
"cty28143","Tunica County, MS",
"cty13033","Burke County, GA",
"cty21075","Fulton County, KY",
"cty38023","Divide County, ND",
"cty05075","Lawrence County, AR",
"cty31143","Polk County, NE",
"cty08063","Kit Carson County, CO",
"cty18079","Jennings County, IN",
"cty47071","Hardin County, TN",
"cty25019","Nantucket County, MA",
"cty39069","Henry County, OH",
"cty48405","San Augustine County, TX",
"cty21001","Adair County, KY",
"cty26071","Iron County, MI",
"cty21153","Magoffin County, KY",
"cty19081","Hancock County, IA",
"cty38039","Griggs County, ND",
"cty21169","Metcalfe County, KY",
"cty45005","Allendale County, SC",
"cty28057","Itawamba County, MS",
"cty48149","Fayette County, TX",
"cty53013","Columbia County, WA",
"cty31027","Cedar County, NE",
"cty13249","Schley County, GA",
"cty26113","Missaukee County, MI",
"cty01091","Marengo County, AL",
"cty29149","Oregon County, MO",
"cty13087","Decatur County, GA",
"cty28093","Marshall County, MS",
"cty72071","Isabela Municipio, PR",
"cty48247","Jim Hogg County, TX",
"cty35051","Sierra County, NM",
"cty72149","Villalba Municipio, PR",
"cty13159","Jasper County, GA",
"cty21133","Letcher County, KY",
"cty17107","Logan County, IL",
"cty02060","Bristol Bay Borough, AK",
"cty37149","Polk County, NC",
"cty29059","Dallas County, MO",
