"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty39113","Montgomery County, OH",36669
"cty36087","Rockland County, NY",36667
"cty36019","Clinton County, NY",36665
"cty18063","Hendricks County, IN",36664
"cty47145","Roane County, TN",36658
"cty17111","McHenry County, IL",36651
"cty47165","Sumner County, TN",36635
"cty56037","Sweetwater County, WY",36621
"cty42055","Franklin County, PA",36620
"cty26093","Livingston County, MI",36614
"cty36101","Steuben County, NY",36609
"cty39085","Lake County, OH",36602
"cty29195","Saline County, MO",36599
"cty27027","Clay County, MN",36588
"cty55101","Racine County, WI",36588
"cty24047","Worcester County, MD",36571
"cty48227","Howard County, TX",36550
"cty39167","Washington County, OH",36550
"cty18005","Bartholomew County, IN",36534
"cty53067","Thurston County, WA",36533
"cty53075","Whitman County, WA",36533
"cty26075","Jackson County, MI",36472
"cty42031","Clarion County, PA",36427
"cty50023","Washington County, VT",36410
"cty41067","Washington County, OR",36408
"cty39173","Wood County, OH",36397
"cty33017","Strafford County, NH",36382
"cty47093","Knox County, TN",36377
"cty22109","Terrebonne Parish, LA",36342
"cty48321","Matagorda County, TX",36324
"cty21211","Shelby County, KY",36321
"cty23011","Kennebec County, ME",36314
"cty55097","Portage County, WI",36313
"cty13121","Fulton County, GA",36300
"cty51003","Albemarle County, VA",36291
"cty01077","Lauderdale County, AL",36284
"cty39045","Fairfield County, OH",36278
"cty23023","Sagadahoc County, ME",36274
"cty37189","Watauga County, NC",36264
"cty24033","Prince George's County, MD",36226
"cty34015","Gloucester County, NJ",36224
"cty24023","Garrett County, MD",36218
"cty36029","Erie County, NY",36166
"cty53033","King County, WA",36164
"cty28049","Hinds County, MS",36164
"cty27039","Dodge County, MN",36151
"cty26023","Branch County, MI",36135
"cty06095","Solano County, CA",36130
"cty36111","Ulster County, NY",36114
"cty27131","Rice County, MN",36103
"cty23017","Oxford County, ME",36094
"cty40153","Woodward County, OK",36081
"cty17093","Kendall County, IL",36049
"cty51095","James City County, VA",36032
"cty24021","Frederick County, MD",35999
"cty13067","Cobb County, GA",35995
"cty18069","Huntington County, IN",35988
"cty05131","Sebastian County, AR",35980
"cty34013","Essex County, NJ",35980
"cty33003","Carroll County, NH",35929
"cty48221","Hood County, TX",35928
"cty38101","Ward County, ND",35908
"cty36115","Washington County, NY",35870
"cty08059","Jefferson County, CO",35846
"cty55025","Dane County, WI",35832
"cty36081","Queens County, NY",35829
"cty13021","Bibb County, GA",35823
"cty02170","Matanuska-Susitna Borough, AK",35819
"cty27171","Wright County, MN",35775
"cty51041","Chesterfield County, VA",35765
"cty17167","Sangamon County, IL",35758
"cty08035","Douglas County, CO",35755
"cty36075","Oswego County, NY",35754
"cty24017","Charles County, MD",35752
