"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty19089","Howard County, IA",36279
"cty27013","Blue Earth County, MN",36275
"cty27063","Jackson County, MN",36246
"cty31151","Saline County, NE",36238
"cty34013","Essex County, NJ",36236
"cty34041","Warren County, NJ",36231
"cty09005","Litchfield County, CT",36215
"cty19189","Winnebago County, IA",36201
"cty27033","Cottonwood County, MN",36199
"cty31103","Keya Paha County, NE",36198
"cty44009","Washington County, RI",36195
"cty34005","Burlington County, NJ",36175
"cty38039","Griggs County, ND",36171
"cty31137","Phelps County, NE",36159
"cty46091","Marshall County, SD",36149
"cty46011","Brookings County, SD",36145
"cty27171","Wright County, MN",36137
"cty55009","Brown County, WI",36136
"cty46089","McPherson County, SD",36135
"cty21185","Oldham County, KY",36134
"cty17189","Washington County, IL",36128
"cty20189","Stevens County, KS",36113
"cty27101","Murray County, MN",36111
"cty08005","Arapahoe County, CO",36099
"cty30075","Powder River County, MT",36099
"cty27073","Lac qui Parle County, MN",36092
"cty33015","Rockingham County, NH",36084
"cty38041","Hettinger County, ND",36047
"cty27119","Polk County, MN",36045
"cty46127","Union County, SD",36044
"cty55071","Manitowoc County, WI",36044
"cty36093","Schenectady County, NY",36037
"cty38051","McIntosh County, ND",36031
"cty31087","Hitchcock County, NE",36016
"cty36091","Saratoga County, NY",36016
"cty27003","Anoka County, MN",36010
"cty39041","Delaware County, OH",35996
"cty27151","Swift County, MN",35994
"cty17111","McHenry County, IL",35994
"cty55039","Fond du Lac County, WI",35958
"cty36081","Queens County, NY",35953
"cty39011","Auglaize County, OH",35952
"cty20065","Graham County, KS",35923
"cty27113","Pennington County, MN",35920
"cty46115","Spink County, SD",35918
"cty19031","Cedar County, IA",35915
"cty30057","Madison County, MT",35912
"cty27147","Steele County, MN",35901
"cty19023","Butler County, IA",35899
"cty31163","Sherman County, NE",35891
"cty20171","Scott County, KS",35874
"cty24017","Charles County, MD",35864
"cty27009","Benton County, MN",35817
"cty46037","Day County, SD",35796
"cty08103","Rio Blanco County, CO",35795
"cty30021","Dawson County, MT",35794
"cty33011","Hillsborough County, NH",35793
"cty27055","Houston County, MN",35792
"cty08014","Broomfield County, CO",35784
"cty48085","Collin County, TX",35783
"cty19129","Mills County, IA",35775
"cty46083","Lincoln County, SD",35772
"cty31059","Fillmore County, NE",35766
"cty51095","James City County, VA",35764
"cty48259","Kendall County, TX",35756
"cty24013","Carroll County, MD",35744
"cty19191","Winneshiek County, IA",35744
"cty19103","Johnson County, IA",35725
"cty46135","Yankton County, SD",35714
"cty35028","Los Alamos County, NM",35709
"cty19047","Crawford County, IA",35706
"cty36071","Orange County, NY",35700
"cty31033","Cheyenne County, NE",35693
"cty25015","Hampshire County, MA",35668
"cty27023","Chippewa County, MN",35659
"cty51620","Franklin city, VA",35642
"cty19083","Hardin County, IA",35632
"cty22089","St. Charles Parish, LA",35625
"cty19035","Cherokee County, IA",35616
"cty38071","Ramsey County, ND",35603
"cty48255","Karnes County, TX",35594
"cty38103","Wells County, ND",35593
"cty31095","Jefferson County, NE",35592
"cty24025","Harford County, MD",35582
"cty27161","Waseca County, MN",35576
"cty19041","Clay County, IA",35567
"cty48495","Winkler County, TX",35558
"cty46015","Brule County, SD",35558
"cty31065","Furnas County, NE",35555
"cty27041","Douglas County, MN",35548
"cty31099","Kearney County, NE",35540
"cty30083","Richland County, MT",35532
"cty36083","Rensselaer County, NY",35523
"cty20067","Grant County, KS",35520
"cty24005","Baltimore County, MD",35517
"cty48275","Knox County, TX",35509
"cty19143","Osceola County, IA",35504
"cty27051","Grant County, MN",35495
"cty25005","Bristol County, MA",35490
"cty19043","Clayton County, IA",35466
"cty46065","Hughes County, SD",35464
"cty19141","O'Brien County, IA",35463
"cty32015","Lander County, NV",35458
"cty19121","Madison County, IA",35444
"cty56005","Campbell County, WY",35434
"cty55047","Green Lake County, WI",35431
"cty02110","Juneau City and Borough, AK",35430
"cty55011","Buffalo County, WI",35430
"cty38023","Divide County, ND",35430
"cty41055","Sherman County, OR",35414
"cty29186","Ste. Genevieve County, MO",35410
"cty19073","Greene County, IA",35400
"cty48329","Midland County, TX",35382
