"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty37137","Pamlico County, NC",29876
"cty48029","Bexar County, TX",29874
"cty06101","Sutter County, CA",29872
"cty36003","Allegany County, NY",29871
"cty29205","Shelby County, MO",29865
"cty29027","Callaway County, MO",29859
"cty29111","Lewis County, MO",29857
"cty04023","Santa Cruz County, AZ",29848
"cty50003","Bennington County, VT",29846
"cty18019","Clark County, IN",29846
"cty40143","Tulsa County, OK",29845
"cty40085","Love County, OK",29843
"cty35025","Lea County, NM",29843
"cty48369","Parmer County, TX",29840
"cty16001","Ada County, ID",29839
"cty51193","Westmoreland County, VA",29831
"cty30077","Powell County, MT",29830
"cty42039","Crawford County, PA",29823
"cty48187","Guadalupe County, TX",29821
"cty01075","Lamar County, AL",29821
"cty17121","Marion County, IL",29820
"cty39005","Ashland County, OH",29813
"cty05039","Dallas County, AR",29812
"cty08029","Delta County, CO",29812
"cty37041","Chowan County, NC",29809
"cty23011","Kennebec County, ME",29806
"cty55013","Burnett County, WI",29801
"cty48419","Shelby County, TX",29801
"cty18015","Carroll County, IN",29792
"cty08077","Mesa County, CO",29791
"cty28161","Yalobusha County, MS",29784
"cty01011","Bullock County, AL",29780
"cty49047","Uintah County, UT",29779
"cty18151","Steuben County, IN",29772
"cty48483","Wheeler County, TX",29764
"cty36123","Yates County, NY",29758
"cty16063","Lincoln County, ID",29756
"cty50019","Orleans County, VT",29754
"cty21239","Woodford County, KY",29751
"cty51175","Southampton County, VA",29742
"cty29003","Andrew County, MO",29737
"cty06033","Lake County, CA",29723
"cty21141","Logan County, KY",29721
"cty21067","Fayette County, KY",29715
"cty18031","Decatur County, IN",29713
"cty21179","Nelson County, KY",29706
"cty53031","Jefferson County, WA",29704
"cty40099","Murray County, OK",29700
"cty48423","Smith County, TX",29691
"cty48471","Walker County, TX",29688
"cty23003","Aroostook County, ME",29684
"cty08115","Sedgwick County, CO",29680
"cty45035","Dorchester County, SC",29677
"cty29137","Monroe County, MO",29669
"cty26005","Allegan County, MI",29667
"cty13177","Lee County, GA",29662
"cty18087","LaGrange County, IN",29659
"cty40087","McClain County, OK",29655
"cty40009","Beckham County, OK",29654
"cty30099","Teton County, MT",29653
"cty41059","Umatilla County, OR",29648
"cty16009","Benewah County, ID",29644
"cty49045","Tooele County, UT",29639
"cty51023","Botetourt County, VA",29635
"cty26087","Lapeer County, MI",29634
"cty29227","Worth County, MO",29634
"cty24045","Wicomico County, MD",29630
"cty23007","Franklin County, ME",29624
"cty20133","Neosho County, KS",29622
"cty21073","Franklin County, KY",29610
"cty30071","Phillips County, MT",29609
"cty50017","Orange County, VT",29605
"cty41039","Lane County, OR",29604
"cty13091","Dodge County, GA",29604
"cty06057","Nevada County, CA",29600
"cty18171","Warren County, IN",29599
"cty26097","Mackinac County, MI",29598
"cty48053","Burnet County, TX",29598
"cty51171","Shenandoah County, VA",29594
"cty39139","Richland County, OH",29580
"cty37089","Henderson County, NC",29577
"cty40147","Washington County, OK",29575
"cty01023","Choctaw County, AL",29573
"cty22085","Sabine Parish, LA",29564
"cty37037","Chatham County, NC",29557
"cty53025","Grant County, WA",29549
"cty20187","Stanton County, KS",29541
"cty29007","Audrain County, MO",29540
"cty48031","Blanco County, TX",29537
"cty42053","Forest County, PA",29532
"cty21225","Union County, KY",29524
"cty41015","Curry County, OR",29523
"cty36045","Jefferson County, NY",29519
"cty37167","Stanly County, NC",29518
"cty29095","Jackson County, MO",29515
"cty17081","Jefferson County, IL",29514
"cty50009","Essex County, VT",29510
"cty39097","Madison County, OH",29508
"cty26025","Calhoun County, MI",29508
"cty18105","Monroe County, IN",29506
"cty46117","Stanley County, SD",29505
"cty51005","Alleghany County, VA",29499
"cty53003","Asotin County, WA",29496
"cty34011","Cumberland County, NJ",29492
"cty39089","Licking County, OH",29491
"cty08031","Denver County, CO",29481
"cty37015","Bertie County, NC",29479
"cty16069","Nez Perce County, ID",29473
"cty20019","Chautauqua County, KS",29471
"cty48207","Haskell County, TX",29468
"cty21145","McCracken County, KY",29460
"cty53071","Walla Walla County, WA",29460
"cty06011","Colusa County, CA",29456
"cty20035","Cowley County, KS",29453
"cty40119","Payne County, OK",29452
"cty39155","Trumbull County, OH",29449
"cty13153","Houston County, GA",29441
"cty20049","Elk County, KS",29430
"cty49013","Duchesne County, UT",29423
"cty16055","Kootenai County, ID",29421
"cty16059","Lemhi County, ID",29413
"cty37127","Nash County, NC",29408
"cty21039","Carlisle County, KY",29398
"cty22061","Lincoln Parish, LA",29395
"cty18005","Bartholomew County, IN",29394
"cty22053","Jefferson Davis Parish, LA",29390
"cty42121","Venango County, PA",29389
"cty54077","Preston County, WV",29374
"cty12073","Leon County, FL",29372
"cty40137","Stephens County, OK",29367
"cty32013","Humboldt County, NV",29359
"cty17061","Greene County, IL",29352
"cty08085","Montrose County, CO",29346
"cty17191","Wayne County, IL",29343
"cty37001","Alamance County, NC",29341
"cty51073","Gloucester County, VA",29341
"cty39167","Washington County, OH",29337
"cty18045","Fountain County, IN",29327
"cty48323","Maverick County, TX",29326
"cty37067","Forsyth County, NC",29321
"cty05011","Bradley County, AR",29312
"cty41007","Clatsop County, OR",29311
"cty48257","Kaufman County, TX",29309
"cty48181","Grayson County, TX",29301
"cty48283","La Salle County, TX",29301
"cty20093","Kearny County, KS",29294
"cty01081","Lee County, AL",29288
"cty20011","Bourbon County, KS",29286
"cty05007","Benton County, AR",29279
"cty54027","Hampshire County, WV",29276
"cty54097","Upshur County, WV",29274
"cty06071","San Bernardino County, CA",29265
"cty06065","Riverside County, CA",29264
"cty48223","Hopkins County, TX",29259
"cty28073","Lamar County, MS",29257
"cty06025","Imperial County, CA",29253
"cty17169","Schuyler County, IL",29247
"cty30081","Ravalli County, MT",29246
"cty39101","Marion County, OH",29244
"cty51109","Louisa County, VA",29244
"cty53077","Yakima County, WA",29241
"cty42009","Bedford County, PA",29237
"cty18111","Newton County, IN",29235
"cty26075","Jackson County, MI",29234
"cty39113","Montgomery County, OH",29229
"cty18017","Cass County, IN",29224
"cty30053","Lincoln County, MT",29223
"cty48379","Rains County, TX",29219
"cty21157","Marshall County, KY",29218
"cty06093","Siskiyou County, CA",29217
"cty48309","McLennan County, TX",29216
"cty26015","Barry County, MI",29214
"cty10005","Sussex County, DE",29213
"cty20107","Linn County, KS",29209
"cty37081","Guilford County, NC",29196
"cty22001","Acadia Parish, LA",29190
"cty39059","Guernsey County, OH",29189
"cty41071","Yamhill County, OR",29187
"cty18107","Montgomery County, IN",29182
"cty16045","Gem County, ID",29181
"cty22101","St. Mary Parish, LA",29173
"cty20025","Clark County, KS",29170
"cty06099","Stanislaus County, CA",29167
"cty48297","Live Oak County, TX",29165
"cty36017","Chenango County, NY",29162
"cty41001","Baker County, OR",29152
"cty16017","Bonner County, ID",29152
"cty26023","Branch County, MI",29150
"cty18069","Huntington County, IN",29141
"cty48487","Wilbarger County, TX",29138
"cty47055","Giles County, TN",29137
"cty16019","Bonneville County, ID",29133
"cty37129","New Hanover County, NC",29132
"cty08071","Las Animas County, CO",29128
"cty18021","Clay County, IN",29122
"cty21029","Bullitt County, KY",29121
"cty48183","Gregg County, TX",29115
"cty23015","Lincoln County, ME",29114
"cty47119","Maury County, TN",29092
"cty29201","Scott County, MO",29091
"cty42101","Philadelphia County, PA",29088
"cty17039","De Witt County, IL",29082
"cty29025","Caldwell County, MO",29082
"cty48049","Brown County, TX",29082
"cty01129","Washington County, AL",29078
"cty42087","Mifflin County, PA",29073
"cty16021","Boundary County, ID",29073
"cty55113","Sawyer County, WI",29072
"cty13247","Rockdale County, GA",29070
"cty20003","Anderson County, KS",29063
"cty48291","Liberty County, TX",29059
"cty13145","Harris County, GA",29044
"cty26047","Emmet County, MI",29043
"cty17083","Jersey County, IL",29038
"cty48421","Sherman County, TX",29036
"cty18133","Putnam County, IN",29036
"cty12067","Lafayette County, FL",29021
"cty49049","Utah County, UT",29020
"cty48467","Van Zandt County, TX",29020
"cty53041","Lewis County, WA",29012
"cty37105","Lee County, NC",29007
"cty54033","Harrison County, WV",29005
"cty31183","Wheeler County, NE",29004
"cty40033","Cotton County, OK",29003
"cty30097","Sweet Grass County, MT",29001
"cty54091","Taylor County, WV",28991
"cty37025","Cabarrus County, NC",28991
"cty51015","Augusta County, VA",28988
"cty05053","Grant County, AR",28986
"cty04019","Pima County, AZ",28980
"cty17183","Vermilion County, IL",28980
"cty01003","Baldwin County, AL",28978
"cty28105","Oktibbeha County, MS",28973
"cty47023","Chester County, TN",28967
"cty51187","Warren County, VA",28967
"cty21115","Johnson County, KY",28964
"cty40109","Oklahoma County, OK",28963
"cty22113","Vermilion Parish, LA",28959
"cty48087","Collingsworth County, TX",28958
"cty08105","Rio Grande County, CO",28958
"cty48485","Wichita County, TX",28951
"cty48217","Hill County, TX",28946
"cty37063","Durham County, NC",28944
"cty16041","Franklin County, ID",28943
"cty48249","Jim Wells County, TX",28937
"cty17005","Bond County, IL",28934
"cty12001","Alachua County, FL",28932
"cty51067","Franklin County, VA",28932
"cty48507","Zavala County, TX",28929
"cty49027","Millard County, UT",28929
"cty13169","Jones County, GA",28907
"cty16005","Bannock County, ID",28900
"cty26027","Cass County, MI",28900
"cty48021","Bastrop County, TX",28899
"cty18165","Vermillion County, IN",28899
"cty37029","Camden County, NC",28898
"cty40145","Wagoner County, OK",28882
"cty48303","Lubbock County, TX",28880
"cty06023","Humboldt County, CA",28876
"cty18115","Ohio County, IN",28875
"cty35005","Chaves County, NM",28874
"cty40055","Greer County, OK",28874
"cty29001","Adair County, MO",28870
"cty17029","Coles County, IL",28866
"cty05081","Little River County, AR",28864
"cty17051","Fayette County, IL",28860
"cty53039","Klickitat County, WA",28860
"cty29117","Livingston County, MO",28859
"cty39029","Columbiana County, OH",28854
"cty54039","Kanawha County, WV",28847
"cty13101","Echols County, GA",28841
"cty51141","Patrick County, VA",28837
"cty40065","Jackson County, OK",28836
"cty51680","Lynchburg city, VA",28836
"cty45091","York County, SC",28834
"cty12057","Hillsborough County, FL",28824
"cty04025","Yavapai County, AZ",28821
"cty12071","Lee County, FL",28819
"cty48459","Upshur County, TX",28817
"cty29103","Knox County, MO",28814
"cty26021","Berrien County, MI",28813
"cty47159","Smith County, TN",28809
"cty48305","Lynn County, TX",28809
"cty36005","Bronx County, NY",28808
"cty40037","Creek County, OK",28806
"cty22091","St. Helena Parish, LA",28803
"cty26153","Schoolcraft County, MI",28793
"cty39135","Preble County, OH",28793
"cty26119","Montmorency County, MI",28792
"cty41057","Tillamook County, OR",28786
"cty13151","Henry County, GA",28783
"cty20127","Morris County, KS",28783
"cty45071","Newberry County, SC",28773
"cty48117","Deaf Smith County, TX",28767
"cty17181","Union County, IL",28767
"cty22015","Bossier Parish, LA",28763
"cty21211","Shelby County, KY",28763
"cty16049","Idaho County, ID",28759
"cty36033","Franklin County, NY",28757
"cty29219","Warren County, MO",28751
"cty01073","Jefferson County, AL",28747
"cty13059","Clarke County, GA",28740
"cty18027","Daviess County, IN",28740
"cty30029","Flathead County, MT",28738
"cty37177","Tyrrell County, NC",28737
"cty11001","District of Columbia, DC",28728
"cty48145","Falls County, TX",28727
"cty26033","Chippewa County, MI",28723
"cty48281","Lampasas County, TX",28716
"cty40019","Carter County, OK",28715
"cty47021","Cheatham County, TN",28715
"cty40141","Tillman County, OK",28711
"cty20125","Montgomery County, KS",28707
"cty48395","Robertson County, TX",28706
"cty16053","Jerome County, ID",28705
"cty21041","Carroll County, KY",28692
"cty08109","Saguache County, CO",28689
"cty45003","Aiken County, SC",28682
"cty26059","Hillsdale County, MI",28681
"cty29121","Macon County, MO",28672
"cty40095","Marshall County, OK",28669
"cty21077","Gallatin County, KY",28667
"cty29127","Marion County, MO",28658
"cty21233","Webster County, KY",28653
"cty53009","Clallam County, WA",28651
"cty49007","Carbon County, UT",28647
"cty08023","Costilla County, CO",28645
"cty16083","Twin Falls County, ID",28645
"cty21089","Greenup County, KY",28644
"cty29053","Cooper County, MO",28643
"cty26143","Roscommon County, MI",28641
"cty19185","Wayne County, IA",28632
"cty06039","Madera County, CA",28627
"cty13139","Hall County, GA",28625
"cty06007","Butte County, CA",28615
"cty51800","Suffolk city, VA",28612
"cty06047","Merced County, CA",28608
"cty40057","Harmon County, OK",28603
"cty28037","Franklin County, MS",28602
"cty51097","King and Queen County, VA",28601
"cty35001","Bernalillo County, NM",28599
"cty01089","Madison County, AL",28598
"cty16077","Power County, ID",28597
"cty31007","Banner County, NE",28597
"cty54085","Ritchie County, WV",28593
"cty51081","Greensville County, VA",28590
"cty26105","Mason County, MI",28589
"cty26083","Keweenaw County, MI",28578
"cty21155","Marion County, KY",28578
"cty48189","Hale County, TX",28568
"cty05139","Union County, AR",28566
"cty45045","Greenville County, SC",28557
"cty18061","Harrison County, IN",28557
"cty29101","Johnson County, MO",28555
"cty40081","Lincoln County, OK",28546
"cty26101","Manistee County, MI",28546
"cty37147","Pitt County, NC",28546
"cty48027","Bell County, TX",28535
"cty04005","Coconino County, AZ",28532
"cty22027","Claiborne Parish, LA",28532
"cty53065","Stevens County, WA",28525
"cty26149","St. Joseph County, MI",28516
"cty23019","Penobscot County, ME",28515
"cty13221","Oglethorpe County, GA",28515
"cty18109","Morgan County, IN",28510
"cty48441","Taylor County, TX",28508
"cty51197","Wythe County, VA",28507
"cty51183","Sussex County, VA",28506
"cty28033","DeSoto County, MS",28499
"cty47149","Rutherford County, TN",28488
"cty21105","Hickman County, KY",28485
"cty08021","Conejos County, CO",28483
"cty05143","Washington County, AR",28476
"cty49039","Sanpete County, UT",28471
"cty51540","Charlottesville city, VA",28471
"cty21215","Spencer County, KY",28470
"cty17033","Crawford County, IL",28469
"cty55001","Adams County, WI",28466
"cty17199","Williamson County, IL",28466
"cty49015","Emery County, UT",28463
"cty18023","Clinton County, IN",28463
"cty18153","Sullivan County, IN",28460
"cty26163","Wayne County, MI",28459
"cty22107","Tensas Parish, LA",28451
"cty48055","Caldwell County, TX",28449
"cty46031","Corson County, SD",28439
"cty18103","Miami County, IN",28439
"cty54003","Berkeley County, WV",28436
"cty51065","Fluvanna County, VA",28429
"cty24019","Dorchester County, MD",28426
"cty51650","Hampton city, VA",28420
"cty29139","Montgomery County, MO",28420
"cty48079","Cochran County, TX",28420
"cty12103","Pinellas County, FL",28417
"cty01031","Coffee County, AL",28417
"cty48083","Coleman County, TX",28409
"cty48399","Runnels County, TX",28404
"cty13281","Towns County, GA",28402
"cty54011","Cabell County, WV",28398
"cty48075","Childress County, TX",28398
"cty37139","Pasquotank County, NC",28397
"cty48353","Nolan County, TX",28394
"cty16047","Gooding County, ID",28392
"cty28045","Hancock County, MS",28392
"cty21227","Warren County, KY",28385
"cty13249","Schley County, GA",28385
"cty48463","Uvalde County, TX",28385
"cty26121","Muskegon County, MI",28384
"cty29073","Gasconade County, MO",28381
"cty29159","Pettis County, MO",28377
"cty13207","Monroe County, GA",28376
"cty39007","Ashtabula County, OH",28375
"cty22003","Allen Parish, LA",28372
"cty51700","Newport News city, VA",28368
"cty20037","Crawford County, KS",28365
"cty53015","Cowlitz County, WA",28361
"cty40011","Blaine County, OK",28360
"cty18167","Vigo County, IN",28357
"cty13029","Bryan County, GA",28354
"cty37035","Catawba County, NC",28353
"cty29083","Henry County, MO",28352
"cty26129","Ogemaw County, MI",28346
"cty12086","Miami-Dade County, FL",28343
"cty30051","Liberty County, MT",28335
"cty29021","Buchanan County, MO",28329
"cty23025","Somerset County, ME",28323
"cty06019","Fresno County, CA",28319
"cty51071","Giles County, VA",28315
"cty30047","Lake County, MT",28314
"cty05045","Faulkner County, AR",28314
"cty21149","McLean County, KY",28313
"cty39021","Champaign County, OH",28310
"cty12087","Monroe County, FL",28307
"cty47031","Coffee County, TN",28302
"cty39119","Muskingum County, OH",28301
"cty53013","Columbia County, WA",28295
"cty40123","Pontotoc County, OK",28294
"cty37099","Jackson County, NC",28286
"cty04027","Yuma County, AZ",28284
"cty21033","Caldwell County, KY",28278
"cty16081","Teton County, ID",28274
"cty28015","Carroll County, MS",28273
"cty18097","Marion County, IN",28264
"cty13001","Appling County, GA",28257
"cty06031","Kings County, CA",28247
"cty48197","Hardeman County, TX",28247
"cty39117","Morrow County, OH",28232
"cty16051","Jefferson County, ID",28230
"cty48231","Hunt County, TX",28228
"cty51025","Brunswick County, VA",28226
"cty42123","Warren County, PA",28225
"cty49019","Grand County, UT",28225
"cty36097","Schuyler County, NY",28224
"cty47037","Davidson County, TN",28222
"cty06107","Tulare County, CA",28220
"cty40025","Cimarron County, OK",28217
"cty06021","Glenn County, CA",28206
"cty16011","Bingham County, ID",28201
"cty22099","St. Martin Parish, LA",28193
"cty37189","Watauga County, NC",28192
"cty06089","Shasta County, CA",28188
"cty16073","Owyhee County, ID",28188
"cty26133","Osceola County, MI",28187
"cty45009","Bamberg County, SC",28182
"cty16003","Adams County, ID",28179
"cty51155","Pulaski County, VA",28177
"cty47085","Humphreys County, TN",28176
"cty23009","Hancock County, ME",28172
"cty05027","Columbia County, AR",28171
"cty13313","Whitfield County, GA",28167
"cty01125","Tuscaloosa County, AL",28163
"cty22123","West Carroll Parish, LA",28162
"cty48489","Willacy County, TX",28162
"cty54107","Wood County, WV",28158
"cty29171","Putnam County, MO",28154
"cty48455","Trinity County, TX",28149
"cty08101","Pueblo County, CO",28139
"cty51047","Culpeper County, VA",28137
"cty48131","Duval County, TX",28137
"cty54099","Wayne County, WV",28132
"cty29161","Phelps County, MO",28127
"cty18169","Wabash County, IN",28126
"cty54081","Raleigh County, WV",28126
"cty45019","Charleston County, SC",28120
"cty37031","Carteret County, NC",28099
"cty39023","Clark County, OH",28091
"cty37125","Moore County, NC",28090
"cty47113","Madison County, TN",28088
"cty29081","Harrison County, MO",28082
"cty01041","Crenshaw County, AL",28081
"cty37197","Yadkin County, NC",28078
"cty49041","Sevier County, UT",28076
"cty05001","Arkansas County, AR",28074
"cty48147","Fannin County, TX",28070
"cty48247","Jim Hogg County, TX",28063
"cty26107","Mecosta County, MI",28061
"cty18067","Howard County, IN",28056
"cty16039","Elmore County, ID",28055
"cty18055","Greene County, IN",28053
"cty21229","Washington County, KY",28047
"cty22021","Caldwell Parish, LA",28046
"cty32003","Clark County, NV",28045
"cty51790","Staunton city, VA",28041
"cty48451","Tom Green County, TX",28040
"cty23017","Oxford County, ME",28028
"cty30039","Granite County, MT",28028
"cty39019","Carroll County, OH",28020
"cty30087","Rosebud County, MT",28014
"cty21093","Hardin County, KY",28011
"cty21021","Boyle County, KY",28008
"cty13235","Pulaski County, GA",28003
"cty28069","Kemper County, MS",28002
"cty40105","Nowata County, OK",27995
"cty48427","Starr County, TX",27995
"cty17193","White County, IL",27991
"cty48237","Jack County, TX",27987
"cty48119","Delta County, TX",27984
"cty51115","Mathews County, VA",27980
"cty49023","Juab County, UT",27973
"cty37097","Iredell County, NC",27964
"cty29089","Howard County, MO",27963
"cty26049","Genesee County, MI",27962
"cty37073","Gates County, NC",27955
"cty48203","Harrison County, TX",27954
"cty22011","Beauregard Parish, LA",27954
"cty28005","Amite County, MS",27952
"cty04007","Gila County, AZ",27951
"cty48293","Limestone County, TX",27950
"cty24011","Caroline County, MD",27946
"cty18093","Lawrence County, IN",27945
"cty06045","Mendocino County, CA",27944
"cty21047","Christian County, KY",27941
"cty01083","Limestone County, AL",27933
"cty47065","Hamilton County, TN",27932
"cty48319","Mason County, TX",27932
"cty16067","Minidoka County, ID",27924
"cty13231","Pike County, GA",27922
"cty08099","Prowers County, CO",27918
"cty51001","Accomack County, VA",27917
"cty22079","Rapides Parish, LA",27907
"cty26095","Luce County, MI",27906
"cty48037","Bowie County, TX",27902
"cty28059","Jackson County, MS",27900
"cty48429","Stephens County, TX",27900
"cty24039","Somerset County, MD",27898
"cty18009","Blackford County, IN",27893
"cty28163","Yazoo County, MS",27889
"cty12015","Charlotte County, FL",27886
"cty48349","Navarro County, TX",27882
"cty47015","Cannon County, TN",27881
"cty21055","Crittenden County, KY",27879
"cty54041","Lewis County, WV",27874
"cty26165","Wexford County, MI",27872
"cty30005","Blaine County, MT",27867
"cty48437","Swisher County, TX",27864
"cty40031","Comanche County, OK",27855
"cty21177","Muhlenberg County, KY",27828
"cty01099","Monroe County, AL",27824
"cty05133","Sevier County, AR",27823
"cty16023","Butte County, ID",27818
"cty13167","Johnson County, GA",27818
"cty26013","Baraga County, MI",27815
"cty21083","Graves County, KY",27815
"cty49037","San Juan County, UT",27810
"cty18121","Parke County, IN",27808
"cty39075","Holmes County, OH",27805
"cty26009","Antrim County, MI",27804
"cty12095","Orange County, FL",27802
"cty41011","Coos County, OR",27801
"cty22105","Tangipahoa Parish, LA",27795
"cty29079","Grundy County, MO",27792
"cty45083","Spartanburg County, SC",27788
"cty16079","Shoshone County, ID",27782
"cty39027","Clinton County, OH",27780
"cty51033","Caroline County, VA",27778
"cty37087","Haywood County, NC",27778
"cty12081","Manatee County, FL",27774
"cty17069","Hardin County, IL",27766
"cty05087","Madison County, AR",27762
"cty12019","Clay County, FL",27754
"cty05041","Desha County, AR",27752
"cty40063","Hughes County, OK",27750
"cty13077","Coweta County, GA",27750
"cty35007","Colfax County, NM",27746
"cty05029","Conway County, AR",27742
"cty01115","St. Clair County, AL",27741
"cty05025","Cleveland County, AR",27738
"cty47043","Dickson County, TN",27736
"cty26159","Van Buren County, MI",27729
"cty16087","Washington County, ID",27729
"cty01025","Clarke County, AL",27728
"cty49021","Iron County, UT",27727
"cty06043","Mariposa County, CA",27721
"cty45001","Abbeville County, SC",27721
"cty35045","San Juan County, NM",27715
"cty17127","Massac County, IL",27708
"cty48449","Titus County, TX",27708
"cty37101","Johnston County, NC",27707
"cty40113","Osage County, OK",27704
"cty37199","Yancey County, NC",27703
"cty48159","Franklin County, TX",27701
"cty29115","Linn County, MO",27700
"cty39129","Pickaway County, OH",27695
"cty22119","Webster Parish, LA",27694
"cty22127","Winn Parish, LA",27693
"cty18177","Wayne County, IN",27692
"cty40107","Okfuskee County, OK",27690
"cty21163","Meade County, KY",27682
"cty53051","Pend Oreille County, WA",27674
"cty23013","Knox County, ME",27668
"cty12009","Brevard County, FL",27667
"cty21221","Trigg County, KY",27662
"cty41019","Douglas County, OR",27661
"cty12105","Polk County, FL",27659
"cty13225","Peach County, GA",27659
"cty17165","Saline County, IL",27650
"cty37175","Transylvania County, NC",27644
"cty37191","Wayne County, NC",27640
"cty40125","Pottawatomie County, OK",27637
"cty12035","Flagler County, FL",27636
"cty13089","DeKalb County, GA",27630
"cty37021","Buncombe County, NC",27626
"cty48299","Llano County, TX",27617
"cty54071","Pendleton County, WV",27612
"cty51027","Buchanan County, VA",27611
"cty23021","Piscataquis County, ME",27608
"cty26113","Missaukee County, MI",27607
"cty48499","Wood County, TX",27607
"cty18075","Jay County, IN",27604
"cty18101","Martin County, IN",27597
"cty18065","Henry County, IN",27594
"cty48387","Red River County, TX",27579
"cty26127","Oceana County, MI",27576
"cty12091","Okaloosa County, FL",27566
"cty26051","Gladwin County, MI",27561
"cty01029","Cleburne County, AL",27561
"cty22025","Catahoula Parish, LA",27559
"cty13137","Habersham County, GA",27559
"cty35027","Lincoln County, NM",27552
"cty13035","Butts County, GA",27552
"cty29145","Newton County, MO",27547
"cty45079","Richland County, SC",27541
"cty12089","Nassau County, FL",27536
"cty37013","Beaufort County, NC",27533
"cty48069","Castro County, TX",27532
"cty48073","Cherokee County, TX",27530
"cty54105","Wirt County, WV",27528
"cty35039","Rio Arriba County, NM",27516
"cty18095","Madison County, IN",27510
"cty47103","Lincoln County, TN",27510
"cty51147","Prince Edward County, VA",27509
"cty08025","Crowley County, CO",27509
"cty48005","Angelina County, TX",27508
"cty51135","Nottoway County, VA",27499
"cty29077","Greene County, MO",27494
"cty41031","Jefferson County, OR",27487
"cty04009","Graham County, AZ",27486
"cty39115","Morgan County, OH",27481
"cty32019","Lyon County, NV",27480
"cty39031","Coshocton County, OH",27478
"cty48359","Oldham County, TX",27473
"cty05043","Drew County, AR",27466
"cty01001","Autauga County, AL",27464
"cty26123","Newaygo County, MI",27462
"cty22081","Red River Parish, LA",27448
"cty13307","Webster County, GA",27444
"cty41043","Linn County, OR",27434
"cty28131","Stone County, MS",27431
"cty21143","Lyon County, KY",27430
"cty37145","Person County, NC",27426
"cty40049","Garvin County, OK",27424
"cty18135","Randolph County, IN",27412
"cty12129","Wakulla County, FL",27388
"cty28091","Marion County, MS",27385
"cty13051","Chatham County, GA",27377
"cty01033","Colbert County, AL",27376
"cty48019","Bandera County, TX",27375
"cty41029","Jackson County, OR",27374
"cty28081","Lee County, MS",27373
"cty13097","Douglas County, GA",27367
"cty05055","Greene County, AR",27364
"cty01077","Lauderdale County, AL",27364
"cty54083","Randolph County, WV",27363
"cty05125","Saline County, AR",27353
"cty21171","Monroe County, KY",27353
"cty48001","Anderson County, TX",27350
"cty35013","Do±íáüna County, NM",27339
"cty45047","Greenwood County, SC",27338
"cty26117","Montcalm County, MI",27338
"cty21201","Robertson County, KY",27334
"cty20209","Wyandotte County, KS",27333
"cty20001","Allen County, KS",27330
"cty26019","Benzie County, MI",27329
"cty28109","Pearl River County, MS",27327
"cty21031","Butler County, KY",27323
"cty54001","Barbour County, WV",27318
"cty22069","Natchitoches Parish, LA",27318
"cty47001","Anderson County, TN",27317
"cty37195","Wilson County, NC",27309
"cty45055","Kershaw County, SC",27306
"cty48343","Morris County, TX",27303
"cty37049","Craven County, NC",27302
"cty48133","Eastland County, TX",27300
"cty13039","Camden County, GA",27297
"cty41013","Crook County, OR",27297
"cty28149","Warren County, MS",27293
"cty22017","Caddo Parish, LA",27290
"cty53027","Grays Harbor County, WA",27283
"cty12113","Santa Rosa County, FL",27282
"cty21107","Hopkins County, KY",27280
"cty18035","Delaware County, IN",27280
"cty06105","Trinity County, CA",27278
"cty29013","Bates County, MO",27277
"cty12061","Indian River County, FL",27274
"cty13009","Baldwin County, GA",27264
"cty01053","Escambia County, AL",27257
"cty51191","Washington County, VA",27257
"cty37069","Franklin County, NC",27245
"cty29043","Christian County, MO",27243
"cty05119","Pulaski County, AR",27238
"cty37171","Surry County, NC",27234
"cty30035","Glacier County, MT",27232
"cty21035","Calloway County, KY",27230
"cty48363","Palo Pinto County, TX",27225
"cty51163","Rockbridge County, VA",27216
"cty47093","Knox County, TN",27214
"cty45015","Berkeley County, SC",27205
"cty47157","Shelby County, TN",27202
"cty54019","Fayette County, WV",27199
"cty51089","Henry County, VA",27196
"cty29163","Pike County, MO",27191
"cty22013","Bienville Parish, LA",27183
"cty28125","Sharkey County, MS",27182
"cty29195","Saline County, MO",27173
"cty38005","Benson County, ND",27172
"cty40117","Pawnee County, OK",27172
"cty35041","Roosevelt County, NM",27172
"cty41045","Malheur County, OR",27171
"cty01047","Dallas County, AL",27166
"cty28039","George County, MS",27157
"cty47147","Robertson County, TN",27156
"cty37109","Lincoln County, NC",27155
"cty32021","Mineral County, NV",27155
"cty39141","Ross County, OH",27150
"cty35043","Sandoval County, NM",27143
"cty48063","Camp County, TX",27142
"cty19053","Decatur County, IA",27140
"cty12097","Osceola County, FL",27135
"cty13297","Walton County, GA",27132
"cty54109","Wyoming County, WV",27127
"cty51181","Surry County, VA",27125
"cty26001","Alcona County, MI",27124
"cty01007","Bibb County, AL",27118
"cty48347","Nacogdoches County, TX",27117
"cty16071","Oneida County, ID",27117
"cty28019","Choctaw County, MS",27114
"cty01101","Montgomery County, AL",27112
"cty26069","Iosco County, MI",27112
"cty13277","Tift County, GA",27110
"cty22115","Vernon Parish, LA",27109
"cty13223","Paulding County, GA",27094
"cty40035","Craig County, OK",27085
"cty54057","Mineral County, WV",27085
"cty29131","Miller County, MO",27082
"cty28095","Monroe County, MS",27075
"cty13263","Talbot County, GA",27063
"cty41041","Lincoln County, OR",27059
